Sr.No,"School Code",School,City,Address,"Phone Nos","Principal Name",State,Pincode,"Co-ordinator1 Name","Co-ordinator1 Contact No.","Co-ordinator2 Name","Co-ordinator2 Contact No."
23,1641463,"Bharatiya Vidya Bhavan Kodagu Vidyalaya",Madikeri,"P.B. No. 43, Siddapur Road, Madikeri, ",08272-225920,"Mr. Seenivasan. E",Karnataka,571201,"Ishrath N S",9008189406,,
24,1810177,"Birla Divya Jyoti",Siliguri,"Uttarayan Township, Zone-F, National Highway - 31, P.O. Matigara, ","0353-257169,2571061, 2571062","Mrs. Gayatri Rai","West Bengal",734010,"Mrs.Madhumita Roy",9832078946,,
25,1914121,"The King^s School",Salcete,"Mugalli, Sao Jose De Areal",0832-6572733,"Mrs.Liga Pereira",Goa,403709,"Mrs. Andrea Rodrigues",9225980304,,
26,2387913,"Shindewadi Mumbai Public School",Mumbai,"C/o. The Akanksha Foundation, C Block Voltas House, T.B. Kadam Marg, Chinchpokli, ","022-23729880,3700253, 8097001318","Ms. Rashmi Chainani",Maharashtra,400033,"Ms. Rashmi Chainani",9768727588,,
27,2456048,"Abhyudaya Nagar Municipal Public School",Mumbai,"C/o. The Akanksha Foundation, C Block, Voltas House, T. B. Kadam Marg, Chinchpokli, ","022-23729880,3700253","Ms Chitra Vishwanath",Maharashtra,400033,"Ms. Natasha ",9821014918,,
28,2456473,"N.E.T. Public School, ICSE",Bangalore,"#17, 2nd Main Road, Sri Nijagunava Road, Gavipuram Extension, ","080-65905978 , 65761345, 26603470","Ms.Shashikala Banwasi",Karnataka,560019,"Rashmi mam",9844383826,,
29,2470230,"The Samhita Academy",Bangalore,"No.52, Lakshmipura Village, Jigani Hobli, Bannerghatta Road, Sakalwara Post, Anekal Taluk, Off. Bannerghatta Road, ",080-46622466,"Mrs.G Pushpa Prasad",Karnataka,560083,"Ms. Jyothi",9886251121,,
30,2473155,"Sunbeam School, Indiranagar",Varanasi,"N6/9C, Indiranagar, Near DLW, Chittaipur, ","0542-22367262, 9721452300","Ms. Reena Vikram Singh","Uttar Pradesh",221005,"Mrs. Rashmi Kapoor",9721452176,,
31,2474876,"Harvest International School",Bangalore,"Survey No. 56/1B, Kodithi Village, Carmelram Post, Off. Sarjapur Road, Nr. Kodithi Farm, ","080-9686199416, 30268304, 30268303","Dr. Dakshayini Kanna",Karnataka,560035,"Neha Khandelwal",7310331111,,
32,2513220,"D. N. Nagar M.P.S.",Mumbai,"C/O Akanksha Foundation, Voltas house, C- block, T.B Kadam Marg, Chinchpokli  ",022-23729880,"Ms Sheetal Murudkar",Maharashtra,400033,"Gagandeep Kaur",,"Yogita Brande",
33,2548143,"Padma Seshadri Bala Bhavan School",Chennai,"L&T Eden Park Township, M. R. Radha Main Road, Siruseri -Pudupakkam Village, Chengalpet T.K., Dist. Kanchipuram","044-27402541, 27402542","Mrs. Kamala Krishnan","Tamil Nadu",603103,"Mrs. Nithya Priya",8220773359,,
34,2565760,"Suchitra Academy",Hyderabad,"4-102, Suchitra Junction, NH7, Near Bowenpally",040-27230981,"Mrs. Renu Shorey","Andhra Pradesh",500055,"Lalitha .R",8008882546,,
35,2746519,"Sitaram Mills MPS",Mumbai,"C/O Akanksha Foundation, Voltas house, C- block, T.B Kadam Marg, Chinchpokli","022-23700846, 23729880","Mandira Purohit",Maharashtra,400033,"Natasha Bajaj",9821014918,,
36,3210065,"GEMS Cambridge International School",Hoshiarpur,"Jalandhar-Phagwara Bye Pass Road, Hoshiarpur",01882-249312,"Mrs. Yachana Chawla",Punjab,146111,,,,
37,3286324,"Deens Academy - Gunjur",Bangalore,"Sy. No. 48/2, Kathriguppe Village, Neriga, Post-Gunjur","080-28457765, 28454691, 7676617788, 7338452406","Ms. Shanthi Menon",Karnataka,562125,"Ms.Hemalatha Pande",9620598822,,
38,3347997,"Redbridge International Academy",Bangalore,"#114, Hulimangala Post, Jigani Hobli, Bangalore",080-420300,"Mr. Browne",Karnataka,560105,"Ms. Latha sivalingam",8884388881,,
39,3389595,"Tree House High School, Mahalunge",Pune,"TTHS Kul Ecoloch, Mahalunge, Near Balewadi Sports Complex",020-65606078,"Mrs Monika Chhabra",Maharashtra,411045,"Mrs Neelam Kanaujia",9850081655,,
40,3392560,"Wadibunder MPS School ",Mumbai,"Akanksha Foundation Voltas House Chinchpokli",022-9773909822,"Ms.Prachi Sanghavi",Maharashtra,400033,"Natasha Bajaj",9821014918,,
41,3392733,"Natwar Nagar MPS ",Mumbai,"Akanksha Foundation Voltas House Chinchpokli",022-9820737494,"MS. Rekha Ghelani",Maharashtra,400033,"Natasha Bajaj",9821014918,,
42,3392859,"Mahalaxmi MPS ",Mumbai,"Akanksha Foundation Voltas House Chinchpokli",022-9769767110,"Ms. Sima Jhaveri",Maharashtra,400033,"Natasha Bajaj",9821014918,,
43,3392980,"Laxminagar MPS ",Mumbai,"C/O Akanksha Foundation, Voltas house, C- block, T.B Kadam Marg, Chinchpokli",022-9820388063,"Ms. Prachi Mangaonar",Maharashtra,400052,"Natasha Bajaj",9821014918,,
44,3438859,"Mahatma Jyotiba Phule MPS",Mumbai,"C/o Janabai &, Madhavrao Rokde Marathi School, Janjiker Street, ",022-982104918,"Ms Seema Kamble",Maharashtra,400003,"Natasha Bajaj",9821014918,,
